date,close,open,tickvol,usd_close,usd_open,usd_adj_close,gspc_close,gspc_open,oil_dcoilwtico,fed_rate_pct,fed_target_rate_from_pct,fed_target_rate_to_pct,cpi_cpiaucsl
2024-01-01,2350.50,2348.20,55000,103.50,103.45,103.50,4780.20,4775.30,72.50,0.0525,0.0525,0.0525,310.20
2024-01-02,2355.30,2351.80,52000,103.45,103.40,103.45,4795.40,4782.10,73.20,0.0525,0.0525,0.0525,310.25
2024-01-03,2348.70,2354.20,58000,103.55,103.50,103.55,4802.10,4798.30,71.80,0.0525,0.0525,0.0525,310.30
2024-01-04,2352.10,2349.50,51000,103.60,103.55,103.60,4810.50,4805.20,72.10,0.0525,0.0525,0.0525,310.35
2024-01-05,2358.90,2353.40,53000,103.50,103.60,103.50,4825.30,4812.10,73.50,0.0525,0.0525,0.0525,310.40
2024-01-08,2361.20,2357.80,49000,103.45,103.50,103.45,4830.10,4822.40,74.20,0.0525,0.0525,0.0525,310.45
2024-01-09,2355.40,2360.10,56000,103.55,103.45,103.55,4820.50,4828.30,72.80,0.0525,0.0525,0.0525,310.50
2024-01-10,2349.80,2354.60,54000,103.65,103.55,103.65,4815.20,4818.10,71.50,0.0525,0.0525,0.0525,310.55
2024-01-11,2353.20,2350.40,50000,103.60,103.65,103.60,4828.90,4820.40,72.30,0.0525,0.0525,0.0525,310.60
2024-01-12,2360.50,2354.10,52000,103.50,103.60,103.50,4840.30,4832.10,73.80,0.0525,0.0525,0.0525,310.65
